# Eva 完整型號索引（按需查詢用，Eva 收到型號詢問時才查，不塞進每則 prompt）
# 更新日期：2026-06-29
# 格式：品牌 | 型號

VS | VS-MT-FB19.55
VS | VS-EXR35/M72
VS | VS-EXR65/M72
VS | x0.1-x2.0 new lens
VS | VS-L0104-65-M72
VS | VS-L025075-65/M72
VS | VS-L0207-65/M72
VS | VS-L04509/F
VS | VS-L025075-65/M72 + AdapterM72-F mount
VS | VS-L025075-65/M72 + AdapterM72-F mount
VS | VS-L0715-65/M72
VS | VS-L05-62/M72
VS | VS-L2030-70/M72
VS | VS-LTC03-130/FS
VS | VS-LTC04-100-21/FS
VS | VS-LTC04-100-21/FS
VS | VS-LTC05-130/FS
VS | VS-LTC07-150/FS
VS | VS-LTC075-70CO-35/FS
VS | VS-LTC075-70CO-35/FS
VS | VS-LTC075-70-35/FS
VS | VS-LTC1-70-35/FS
VS | VS-LTC075-70-35/FS
VS | VS-LTC1-130/FS
VS | VS-LTC1-70-35/FS
VS | VS-LTC075-70-35/FS+PLfilterM62
VS | VS-LTC075-70-35/FS+PLfilterM62
VS | VS-LTC075-70-35/FS+filterAdapter/without filter
VS | VS-LTC1-70-35/FS+PLfilterM53
VS | VS-LTC1-70-35/FS+PLfilterM53
VS | VS-LTC1-70-35/FS+filterAdapter/without filter
VS | TTR10-PL
VS | TTR075-PL
VS | VS-LTC1-70CO-35/FS
VS | VS-LTC1-70CO-35/FS
VS | VS-LTC2-70CO-35/F
VS | VS-LTC1-70CO-35/FS
VS | VS-LTC1-70CO-35/FS
VS | VS-LTC1-70CO-35/FS
VS | VS-LTC2-70CO-35/FS
VS | VS-LTC2-60/FS
VS | VS-LTC2-70-35/FS
VS | VS-LTC2-70-35/FS
VS | VS-LTC2-70-35/FS+PLfilterM43
VS | VS-LTC2-70-35/FS+filterAdapter/without filter
VS | VS-LTC2-70/FSN
VS | VS-LTC2-70CO/FSN
VS | VS-LTC3.3-45/FS
VS | VS-LTC7-20CO-40/F
VS | VS-LTC4-50CO-28/F
VS | VS-LTC5-50CO-28/F
VS | VS-LTC6-50CO-28/F
VS | VS-LTC7-50CO-28/Ｆ
VS | VS-LTC7-50CO-28/Ｆ
VS | VS-TC0510
VS | Holding Flange
VS | VS-TCM025-65
VS | VS-TCM025-65CO
VS | VS-TCM025-150
VS | VS-TCM025-150-S
VS | VS-TCM025-150CO
VS | VS-TCM05-65
VS | VS-TCM05-65
VS | VS-TCM05-65CO
VS | VS-TCM05-65CO
VS | VS-TCM05-130/S
VS | VS-TCM075-65CO
VS | VS-TCM075-65/S
VS | VS-TCM075-65/S
VS | VS-TCM07-150/S
VS | VS-TCM075-65CO/S
VS | VS-TCM1-65-S
VS | VS-TCM1-65CO
VS | VS-TCM1-65CO/S
VS | VS-TCM1-130/S
VS | VS-TCM2-65-S
VS | VS-TCM2-65CO
VS | VS-TCM2-65CO/S
VS | VS-TCM2-65CO/S
VS | VS-TCM4-60CO
VS | VS-TCM6-60CO
VS | VS-TCM7-50CO
VS | VS-TCM6-60COL
VS | VS-TCM10-60CO
VS | VS-TCM10-60COL
VS | VS-TCM04-100S
VS | VS-TCM04-200S
VS | VS-TCM1.5-100S
VS | VS-TCM3-50CO
VS | VS-TCM4-50CO
VS | VS-TCM5-50CO
VS | VS-TCM6-50CO
VS | VS-TCM017-1/2"
VS | VS-TCM017CO-1/2"
VS | VS-TCM022-150/S
VS | VS-TCM022-150/S
VS | VS-TCM022
VS | VS-TCM022-1/1.8"
VS | VS-TCM022CO-1/1.8"
VS | VS-TCM022-110-1/1.8"
VS | VS-TCM022-110-1/1.8"
VS | VS-TCM022-110CO-1/1.8
VS | VS-TCM022-110CO-1/1.8
VS | VS-TCM025-65
VS | VS-TCM025-65
VS | VS-TCM03
VS | VS-TCM03-130/S
VS | VS-TCM03-150
VS | VS-TCM03-150
VS | VS-TCM03-150CO
VS | VS-TCM03-150CO
VS | VS-TCM06/RC2X
VS | VS-TCM017-F8
VS | VS-TCM017-1/1.8"
VS | VS-TCM017-1/1.8"-F8
VS | VS-TCM017CO-1/1.8"
VS | VS-TCM017-110
VS | VS-TCM017-110
VS | VS-TCM017-110
VS | VS-TCM017-110CO
VS | VS-TCM017-110CO
VS | VS-TCM019-130-S
VS | VS-TCM01-180-S
VS | VS-TC1.5-40
VS | VS-TC1.5-40
VS | VS-TC2-40
VS | VS-TC2-40
VS | VS-TC3-40-LD
VS | VS-TC4-40
VS | VS-TC4-40
VS | VS-TC6-40-LD
VS | VS-TC6-40-LD
VS | VS-TC8-40-LD
VS | VS-TC8-40-LD
VS | VS-TC1.5-40CO
VS | VS-TC1.5-40CO
VS | VS-TC2-40CO
VS | VS-TC2-40CO
VS | VS-TC3-40CO-LD
VS | VS-TC4-40CO
VS | VS-TC4-40CO
VS | VS-TC6-40CO-LD
VS | VS-TC6-40CO
VS | VS-TC8-40CO-LD
VS | VS-TC08-65
VS | VS-TC1-65-16
VS | VS-TC1-65-16
VS | VS-TC1.5-70
VS | VS-TC1.5-70
VS | VS-TC1.5-70
VS | VS-TC2-65
VS | VS-TC2-65
VS | VS-TC3-65
VS | VS-TC3-65
VS | VS-TC3-65
VS | VS-TC4-65
VS | VS-TC5-65
VS | VS-TC5-65
VS | VS-TC6-65
VS | VS-TC8-65
VS | VS-TC10-65
VS | VS-TC10-65
VS | VS-TC08-65CO
VS | VS-TC08-65CO
VS | VS-TC08-65CO
VS | VS-TC08-65CO
VS | VS-TC08-65CO
VS | VS-TC1-65CO-16
VS | VS-TC1-65CO-16
VS | VS-TC1-65CO-16
VS | VS-TC1-65CO-16
VS | VS-TC1.5-70CO
VS | VS-TC1.5-70CO
VS | VS-TC1.5-70CO
VS | VS-TC1.5-70CO
VS | VS-TC1.5-70CO
VS | VS-TC1.5-70CO
VS | VS-TC1.5-70CO
VS | VS-TC1.5-70CO
VS | VS-TC2-65CO
VS | VS-TC2-65CO
VS | VS-TC2-65CO
VS | VS-TC2-65CO
VS | VS-TC2-65CO
VS | VS-TC3-65CO
VS | VS-TC4-65CO
VS | VS-TC4-65CO
VS | VS-TC4-65CO
VS | VS-TC5-65CO
VS | VS-TC5-65CO
VS | VS-TC6-65CO
VS | VS-TC6-65CO
VS | VS-TC8-65CO
VS | VS-TC8-65CO
VS | VS-TC10-65CO
VS | VS-TC2-75
VS | VS-TC3-75
VS | VS-TC4-75
VS | VS-TC5-75
VS | VS-TC6-75
VS | VS-TC2-75CO
VS | VS-TC3-75CO
VS | VS-TC4-75CO
VS | VS-TC5-75CO
VS | VS-TC6-75CO
VS | VS-TC05-150
VS | VS-TC05-150
VS | VS-TC08-120
VS | VS-TC08-170
VS | VS-TC1-110
VS | VS-TC1-110
VS | VS-TC1-110
VS | VS-TC1-110
VS | VS-TC1-110
VS | VS-TC1-150
VS | VS-TC1-150
VS | VS-TC1.5N-110
VS | VS-TC1.5N-110
VS | VS-TC2-110-LD
VS | VS-TC2-110-LD
VS | VS-TC3-110
VS | VS-TC3-110
VS | VS-TC4-110
VS | VS-TC4-110-LD
VS | VS-TC4-110-LD
VS | VS-TC5-110
VS | VS-TC5-110
VS | VS-TC6-110-LD
VS | VS-TC6-110-LD
VS | VS-TC8-110-LD
VS | VS-TC8-110-LD
VS | VS-TC05-150CO
VS | VS-TC05-150CO
VS | VS-TC06-170
VS | VS-TC06-170
VS | VS-TC06-170-F15
VS | VS-TC06-170CO
VS | VS-TC06-170CO-F15
VS | VS-TC08-120CO
VS | VS-TC08-120CO
VS | VS-TC08-120CO
VS | VS-TC08-170CO
VS | VS-TC08-170CO
VS | VS-TC1-110CO
VS | VS-TC1-110CO
VS | VS-TC1-110CO
VS | VS-TC1-110CO
VS | VS-TC1-150CO
VS | VS-TC1.5N-110CO
VS | VS-TC1.5N-110CO
VS | VS-TC1.5N-110CO
VS | VS-TC1.5N-110CO
VS | VS-TC1.5N-110CO
VS | VS-TC2-110CO-LD
VS | VS-TC2-110CO-LD
VS | VS-TC2-110CO
VS | VS-TC2-110CO
VS | VS-TC2-110CO
VS | VS-TC2-110CO-LD
VS | VS-TC2-110CO-LD
VS | VS-TC2-110CO-LD
VS | VS-TC2-110CO-LD
VS | VS-TC2-110CO
VS | VS-TC3-110CO
VS | VS-TC3-110CO
VS | VS-TC4-110CO
VS | VS-TC4-110CO-LD
VS | VS-TC4-110CO-LD
VS | VS-TC4-110CO-LD
VS | VS-TC5-110CO
VS | VS-TC5-110CO
VS | VS-TC5-110CO
VS | VS-TC5-110CO
VS | VS-TC6-110CO-LD
VS | VS-TC6-110CO-LD
